96023152,10000020
96476182,10000011
96257165,10000012
96914465,10000065
96602170,10000045
96572395,10000097
96075711,10000014
96558128,10000088
96789828,10000020
96333474,10000058
96780993,10000083
96484455,10000007
96022467,10000072
96566954,10000088
96240208,10000025
96897518,10000055
96300861,10000097
96335295,10000014
96771937,10000027
96669364,10000024
96056035,10000078
96815464,10000049
96037639,10000096
96252361,10000043
96869366,10000087
96909057,10000099
96386311,10000073
96807252,10000078
96202516,10000052
96748295,10000039
